ID,Nombre
1,Museo Municipal Etnográfico Cancebí
2,Malecon Escenico Murcielago
3,Playa El Murciélago
4,Parque central
5,Museo Centro Cultural Manta
6,Playa los Esteros y Tarqui
7,Monumento A Eloy Alfaro D.
8,Monumento Al Pescador
9,El Paseo Shopping
10,Playa Barbasquillo
11,Playa San Mateo
12,Playa Santa Marianita
13,Playa La Botada
14,Playa La Resbalosa La Piñas y Santa Rosa
15,Monumento Al Atun Manta
16,Monumento a la Tejedora Manabita
17,El faro
18,Reloj Publico
19,Federacion de Artesanos
20,Mercado Artesanal de la playa El Murcielago
21,Mall del Pacífico
22,Centro Comercial Manta Shopping- Manicentro
23,La Plaza Beach
24,Parque comercial Nuevo Tarqui
25,Gran Aki Tarqui
26,SUPER EXITO MANTA
27,Plaza Del Sol Manta
28,Bar El Padrino
29,Bar Budo
30,Wild Bar
31,Navy`s Bar Discoteca
32,Noa Bar Grill
33,Bar Kush
34,Bar Sunset
